Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Rochus C.,Ullyett K.,120,182,6.0,4.0,6.0,4.0,6.0,3.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Sampras P.,Tillstrom M.,3,79,6.0,3.0,7.0,6.0,6.0,1.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Squillari F.,Woodforde M.,48,126,6.0,4.0,7.0,6.0,3.0,6.0,6.0,4.0,,,3,1,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Vicente F.,Martin T.,55,9,6.0,4.0,2.0,6.0,3.0,6.0,6.0,3.0,7.0,5.0,3,2,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Vinciguerra A.,Paes L.,99,137,7.0,6.0,6.0,4.0,6.0,3.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Voinea A.,Portas A.,95,91,6.0,2.0,6.0,1.0,6.0,3.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Woodruff C.,Sekulov J.,56,133,6.0,3.0,6.0,2.0,6.0,2.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Zabaleta M.,Woodbridge T.,33,204,7.0,6.0,4.0,6.0,6.0,1.0,6.0,4.0,,,3,1,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Agassi A.,Zabaleta M.,1,33,6.0,4.0,6.0,4.0,6.0,2.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Arazi H.,Vicente F.,41,55,6.0,3.0,6.0,3.0,6.0,2.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Clement A.,Federer R.,54,62,6.0,1.0,6.0,4.0,6.0,3.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Dosedel S.,Squillari F.,64,48,7.0,5.0,6.0,2.0,6.0,3.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,El Aynaoui Y.,Ferrero J.C.,29,40,7.0,6.0,4.0,6.0,4.0,6.0,7.0,6.0,6.0,4.0,3,2,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Escude N.,Vinciguerra A.,34,99,6.0,4.0,6.0,4.0,6.0,3.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Ferreira W.,Clavet F.,53,39,6.0,3.0,6.0,4.0,3.0,6.0,6.0,3.0,,,3,1,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Henman T.,Grosjean S.,13,26,6.0,1.0,6.0,4.0,4.0,6.0,7.0,6.0,,,3,1,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Hewitt L.,Voinea A.,17,95,6.0,2.0,7.0,5.0,6.0,3.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Kafelnikov Y.,Koubek S.,2,43,6.0,3.0,6.0,3.0,6.0,4.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Kiefer N.,Alami K.,4,35,6.0,3.0,6.0,4.0,6.0,2.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Norman M.,Bjorkman J.,11,76,6.0,4.0,6.0,4.0,7.0,6.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Philippoussis M.,Ilie A.,19,46,6.0,4.0,7.0,6.0,6.0,1.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Rochus C.,Mirnyi M.,120,67,3.0,6.0,6.0,4.0,6.0,3.0,7.0,6.0,,,3,1,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Sampras P.,Black W.,3,151,6.0,7.0,3.0,6.0,6.0,3.0,7.0,5.0,6.0,3.0,3,2,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,3rd Round,5,Woodruff C.,Fromberg R.,56,80,6.0,1.0,6.0,4.0,7.0,6.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,4th Round,5,Agassi A.,Philippoussis M.,1,19,6.0,4.0,7.0,6.0,5.0,7.0,6.0,3.0,,,3,1,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,4th Round,5,Arazi H.,Escude N.,41,34,6.0,4.0,6.0,3.0,7.0,6.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,4th Round,5,El Aynaoui Y.,Clement A.,29,54,3.0,6.0,6.0,3.0,6.0,4.0,3.0,6.0,10.0,8.0,3,2,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,4th Round,5,Kafelnikov Y.,Rochus C.,2,120,6.0,1.0,6.0,3.0,7.0,5.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,4th Round,5,Kiefer N.,Ferreira W.,4,53,6.0,3.0,6.0,4.0,6.0,2.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,4th Round,5,Norman M.,Hewitt L.,11,17,6.0,3.0,6.0,1.0,7.0,6.0,,,,,3,0,Completed
